Program,Run,Metric,Value
openMP,3,cpu_core_l2_rqsts_references,49339540
openMP,3,cpu_core_l2_rqsts_miss,15055137
openMP,3,cpu_atom_LLC_loads,645294
openMP,3,cpu_core_LLC_loads,1563314
openMP,3,cpu_atom_LLC_load_misses,367
openMP,3,cpu_core_LLC_load_misses,411431
openMP,3,cpu_atom_branch_misses,812026
openMP,3,cpu_core_branch_misses,1285223
openMP,3,time_elapsed,0.215786142
openMP,3,user_time,1.020995000
openMP,3,sys_time,0.038734000
openMP,4,cpu_atom_cycles,1784150385
openMP,4,cpu_core_cycles,4244676585
openMP,4,cpu_atom_instructions,771906536
openMP,4,cpu_core_instructions,4521934360
openMP,4,cpu_atom_L1_dcache_loads,105963838
openMP,4,cpu_core_L1_dcache_loads,987365965
openMP,4,cpu_atom_L1_dcache_load_misses,<not
openMP,4,cpu_core_L1_dcache_load_misses,9845895
openMP,4,cpu_core_l2_rqsts_references,42800093
openMP,4,cpu_core_l2_rqsts_miss,14100620
openMP,4,cpu_atom_LLC_loads,1110130
openMP,4,cpu_core_LLC_loads,2535580
openMP,4,cpu_atom_LLC_load_misses,437
openMP,4,cpu_core_LLC_load_misses,575071
openMP,4,cpu_atom_branch_misses,1233407
openMP,4,cpu_core_branch_misses,1318711
openMP,4,time_elapsed,0.220080094
openMP,4,user_time,0.996138000
openMP,4,sys_time,0.033936000
openMP,5,cpu_atom_cycles,2005180223
openMP,5,cpu_core_cycles,4290473023
openMP,5,cpu_atom_instructions,712256941
openMP,5,cpu_core_instructions,4604143820
openMP,5,cpu_atom_L1_dcache_loads,83667172
openMP,5,cpu_core_L1_dcache_loads,996637943
openMP,5,cpu_atom_L1_dcache_load_misses,<not
openMP,5,cpu_core_L1_dcache_load_misses,12608907
openMP,5,cpu_core_l2_rqsts_references,46755353
openMP,5,cpu_core_l2_rqsts_miss,14479621
openMP,5,cpu_atom_LLC_loads,1053877
openMP,5,cpu_core_LLC_loads,2294306
openMP,5,cpu_atom_LLC_load_misses,47
openMP,5,cpu_core_LLC_load_misses,454111
openMP,5,cpu_atom_branch_misses,1200891
openMP,5,cpu_core_branch_misses,1338675
openMP,5,time_elapsed,0.202739006
openMP,5,user_time,0.952508000
